ID,Level,Inverse_variance_weighted,OR,MR_Egger,Weighted_median,Simple_mode,Weighted_mode,QQNOMEANING
11319,genus,0.343251674,1.308601605,0.752896966,0.266036111,0.178185794,0.261883145,1
11321,genus,0.940199057,1.012297057,0.146686035,0.770273623,0.93889927,0.726316738,1
11324,genus,0.026948139,1.642853744,0.398445627,0.048807407,0.027018041,0.179935922,1
11330,genus,0.767889781,1.116078741,0.381095402,0.740081184,0.726595483,0.708841841,1
1837,genus,0.69256934,1.086299838,0.739756821,0.840776922,0.691096448,0.945208181,1
1851,genus,0.462181576,0.86793156,0.806992504,0.581903345,0.24834463,0.771578377,1
2005,genus,0.485352275,0.870353212,0.324314616,0.782103935,0.48190866,0.835555598,1
123,genus,0.691210902,1.125382944,0.737873432,0.165681308,0.391012992,0.167085623,1
822,genus,0.665035225,0.947311001,0.229709306,0.729470361,0.660835699,0.813281241,1
2063,genus,0.766474951,1.050669411,0.827169572,0.943646575,0.763199939,0.359275919,1
2064,genus,0.494736778,0.811783067,0.645464966,0.920732714,0.393266692,0.998068618,1
954,genus,0.233834807,1.488927634,0.285946622,0.278004985,0.205492648,0.26871071,1
962,genus,0.651307824,1.083938096,0.862367169,0.894188351,0.597815887,0.88989443,1
2892,genus,0.365284459,0.865092388,0.18725347,0.285440416,0.36046393,0.368973719,1
2037,genus,0.792591704,1.065564616,0.950231157,0.410225733,0.640420434,0.249391974,1
2168,genus,0.924784498,1.030595189,0.579077535,0.830829937,0.924435159,0.74794859,1
11182,genus,0.599012577,1.073043348,0.942265444,0.783820012,0.596803012,0.8154902,1
11183,genus,0.021968488,0.639721089,0.612837601,0.159956689,0.022154055,0.352697959,1
11191,genus,0.125904136,1.28381301,0.830355254,0.210559837,0.131940022,0.421408667,1
11347,genus,0.215143806,0.767038953,0.613182439,0.612460147,0.215146747,0.863924368,1
2012,genus,0.340140681,1.272691967,0.756249962,0.944763306,0.293624812,0.791930847,1
11355,genus,0.677957689,1.110499685,0.979430354,0.334793523,0.673650757,0.54383422,1
11356,genus,0.673205217,0.899233464,0.405395726,0.302687311,0.550074243,0.331973737,1
11357,genus,0.223596039,0.45805519,0.402127138,0.483241733,0.034938277,0.822557886,1
11358,genus,0.806582519,0.925654775,0.798687901,0.577539768,0.773394175,0.891033672,1
11360,genus,0.988592351,1.003656154,0.486275345,0.830425209,0.985640934,0.974761248,1
11361,genus,0.042603573,1.561679304,0.367983912,0.151246951,0.0424354,0.361126868,1
11362,genus,0.883623375,1.03216601,0.460903177,0.46777021,0.881980205,0.546978441,1
11363,genus,0.549210703,1.148845264,0.820701504,0.224913334,0.544429411,0.357280654,1
11366,genus,0.498116892,1.12706964,0.60982541,0.564152855,0.49512337,0.43916614,1
11367,genus,0.07464532,1.737049779,0.979745895,0.239416778,0.078218697,0.510800253,1
11368,genus,0.742728485,0.958494189,0.922475772,0.844606643,0.741556785,0.834058549,1
11370,genus,0.234345621,1.579350042,0.580160858,0.0322833,0.083279491,0.106049851,1
11371,genus,0.238764304,1.289448578,0.282252923,0.208630804,0.231989458,0.414881247,1
11342,genus,0.763956371,0.905449835,0.486682043,0.169221672,0.65498493,0.237184791,1
14376,genus,0.107707745,0.745440211,0.629227043,0.703825857,0.061025955,0.974358722,1
14377,genus,0.4772708,0.731955681,0.15036472,0.289583081,0.244871115,0.195838821,1
11373,genus,0.473200031,1.275467232,0.242260959,0.220789074,0.433077748,0.313497394,1
11374,genus,0.556936939,1.149284151,0.445187356,0.747461387,0.505380593,0.587182584,1
14369,genus,0.45304731,1.096104188,0.449711049,0.434572538,0.449913074,0.414182509,1
11160,genus,0.960209892,1.010425114,0.706920388,0.881266093,0.960137934,0.81383653,1
825,genus,0.814655314,1.04807174,0.862728032,0.902671514,0.798256156,0.76411955,1
1853,genus,0.228701399,1.264688695,0.352754886,0.253455995,0.217074406,0.499011449,1
2070,genus,0.522162552,0.852699742,0.42494738,0.447972871,0.517593976,0.518340648,1
2896,genus,0.991136192,0.997588146,0.234725493,0.759437059,0.9909545,0.837751352,1
11348,genus,0.224094826,1.327443085,0.296882832,0.486225021,0.164866425,0.945873715,1
2162,genus,0.881167166,1.036813831,0.493413789,0.907986047,0.84329536,0.843596574,1
11335,genus,0.692747087,0.938542547,0.626099596,0.888285122,0.690934394,0.742650834,1
2198,genus,0.937964914,1.021580477,0.947553127,0.643856879,0.926082877,0.67221802,1
2256,genus,0.352835762,1.1133605,0.808739444,0.48386311,0.346883387,0.629874595,1
